index,title,release_date,vote_average
455,Coraline,2009-02-05,7.9
456,El Infierno,2010-09-03,7.888
457,Wish Dragon,2021-01-15,7.887
458,Dangal,2016-12-21,7.887
459,Umberto D.,1952-01-20,7.886
460,Nimona,2023-06-23,7.885
461,We Are the Nobles,2013-03-28,7.9
462,Werckmeister Harmonies,2001-02-01,7.884
463,I'm No Longer Here,2019-10-21,7.883
464,Yi Yi,2000-09-20,7.883
465,Justice League: The Flashpoint Paradox,2013-07-30,7.9
466,Ben-Hur,1959-11-18,7.878
467,Invisible Life,2019-08-30,7.877
468,La Jetée,1962-02-16,7.9
469,Forgotten Love,2023-09-26,7.9
470,The Greatest Showman,2017-12-20,7.877
471,The Battle of Algiers,1966-09-08,7.9
472,Kill Bill: Vol. 2,2004-04-16,7.874
473,Roman Holiday,1953-08-26,7.874
474,An Egg Rescue,2021-08-12,7.9
475,Paper Moon,1973-05-09,7.872
476,Mamma Roma,1962-09-22,7.9
477,The Night of the Hunter,1955-07-27,7.9
478,Wild Tales,2014-08-21,7.87
479,Young Frankenstein,1974-12-15,7.869
480,Sing Street,2016-03-11,7.868
481,Dancer in the Dark,2000-09-01,7.868
482,A Bronx Tale,1993-10-01,7.867
483,Regular Show: The Movie,2015-09-01,7.872
484,Mary and Max,2009-04-09,7.866
485,Little Women,2019-12-25,7.865
486,Vincent,1982-10-01,7.865
487,The Miracle Worker,1962-05-23,7.9
488,The Cameraman,1928-09-10,7.9
489,Perfect Strangers,2016-02-11,7.862
490,Mr. Smith Goes to Washington,1939-10-19,7.861
491,Scooby-Doo! Camp Scare,2010-09-14,7.9
492,The Witch: Part 1. The Subversion,2018-06-27,7.862
493,Just Mercy,2019-12-25,7.857
494,My Way,2011-12-21,7.9
495,Ace in the Hole,1951-06-29,7.857
496,Downfall,2004-09-16,7.857
497,Fargo,1996-03-08,7.857
498,A Beautiful Mind,2001-12-14,7.855
499,Shoplifters,2018-06-02,7.854
500,Tampopo,1985-11-23,7.9
501,Stand by Me,1986-08-08,7.853
502,Argentina 1985,2022-09-29,7.851
503,Finch,2021-11-04,7.852
504,Isle of Dogs,2018-03-23,7.851
505,Grand Illusion,1937-06-04,7.9
506,Sing 2,2021-12-01,7.849
507,Her,2013-12-18,7.85
508,Indiana Jones and the Last Crusade,1989-05-24,7.846
509,Let Go,2024-11-01,7.844
510,Knives Out,2019-11-27,7.844
511,The Theory of Everything,2014-11-26,7.844
512,Dog Day Afternoon,1975-09-21,7.844
513,See You Up There,2017-10-25,7.842
514,Departures,2008-09-13,7.8
515,"Monsters, Inc.",2001-11-01,7.842
516,Dances with Wolves,1990-03-30,7.842
517,Warrior,2011-09-09,7.841
518,The Virgin Spring,1960-02-08,7.8
519,Raya and the Last Dragon,2021-03-03,7.84
520,Sherlock: The Abominable Bride,2016-01-01,7.84
521,The Big Lebowski,1998-03-06,7.839
522,Nostalgia,1983-06-02,7.8
523,"The Gangster, the Cop, the Devil",2019-05-15,7.837
524,War Room,2015-08-28,7.8
525,Millennium Actress,2002-09-14,7.8
526,Anatomy of a Murder,1959-07-01,7.8
527,Better Man,2024-12-06,7.8
528,World of Tomorrow,2015-01-22,7.8
529,How to Train Your Dragon,2010-03-18,7.835
530,Sunrise: A Song of Two Humans,1927-11-04,7.836
531,Feast,2014-10-25,7.835
532,Ivan's Childhood,1962-05-09,7.835
533,The Nightmare Before Christmas,1993-10-09,7.835
534,Close to the Horizon,2019-10-10,7.8
535,The Breadwinner,2017-11-17,7.834
536,The Marquis of Grillo,1981-12-23,7.8
537,Two Women,1960-12-22,7.8
538,A Fistful of Dollars,1964-09-12,7.833
539,Carlito's Way,1993-11-10,7.832
540,The Grapes of Wrath,1940-03-15,7.832
541,Charm City Kings,2020-01-27,7.8
542,We Bare Bears: The Movie,2020-06-30,7.8
543,Mulholland Dr.,1999-01-01,7.829
544,Papillon,1973-12-16,7.829
545,It Happened One Night,1934-02-22,7.829
546,The Shadow in My Eye,2021-10-28,7.828
547,The Whale,2022-12-09,7.827
548,The Boy in the Striped Pyjamas,2008-05-07,7.827
549,The Best Offer,2013-01-01,7.825
550,Ratatouille,2007-06-28,7.825
551,Rosemary's Baby,1968-06-12,7.824
552,Kiki's Delivery Service,1989-07-29,7.824
553,My Fault,2023-06-08,7.823
554,La luna,2012-02-10,7.8
555,Fantozzi: White Collar Blues,1975-03-27,7.8
556,To Be or Not to Be,1942-03-06,7.8
557,"Love, Rosie",2014-10-16,7.822
558,Redeeming Love,2022-01-21,7.825
559,Logan,2017-02-28,7.8
560,Kagemusha,1980-04-26,7.819
561,A Bag of Marbles,2017-01-18,7.818
562,Joint Security Area,2000-09-09,7.818
563,Infernal Affairs,2002-12-12,7.817
564,1900,1976-08-28,7.817
565,Finding Nemo,2003-05-30,7.817
566,Elite Squad: The Enemy Within,2010-10-08,7.816
567,Spotlight,2015-11-06,7.815
568,The Bridge on the River Kwai,1957-10-11,7.814
569,No Game No Life: Zero,2017-07-15,7.8
570,Network,1976-11-14,7.813
571,Rio Bravo,1959-03-18,7.8
572,Snatch,2000-09-01,7.813
573,Before Sunset,2004-06-16,7.812
574,Us Again,2021-03-03,7.812
575,All My Life,2020-10-23,7.811
576,The Specials,2019-10-23,7.811
577,Midnight Sun,2018-03-22,7.811
578,The Working Class Goes to Heaven,1971-09-17,7.811
579,Mr. Nobody,2009-11-06,7.81
580,The Phantom Carriage,1921-01-01,7.809
581,Lisbela and the Prisoner,2003-08-22,7.8
582,Paprika,2006-10-01,7.809
583,Fail Safe,1964-10-07,7.809
584,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,7.808
585,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003-05-28,7.8
586,3-Iron,2004-10-15,7.808
587,Luca,2021-06-17,7.807
588,Fantastic Mr. Fox,2009-10-23,7.806
589,Mulholland Drive,2001-06-06,7.805
590,Z,1969-02-26,7.8
591,One Life,2023-12-21,7.8
592,My Life as a Zucchini,2016-09-22,7.8
593,A Woman Under the Influence,1974-11-18,7.8
594,Gifted Hands: The Ben Carson Story,2009-02-07,7.8
595,Monty Python and the Holy Grail,1975-03-14,7.801
596,Harry Potter and the Goblet of Fire,2005-11-16,7.801
597,Solaris,1972-03-20,7.802
598,Tod@s Caen,2019-08-30,7.8
599,"Spring, Summer, Fall, Winter... and Spring",2003-09-19,7.8
600,Evangelion: 2.0 You Can (Not) Advance,2009-06-26,7.799
601,Porco Rosso,1992-07-18,7.799
602,Toy Story 3,2010-06-16,7.799
603,The Wrong Trousers,1993-12-17,7.799
604,Land of Mine,2015-12-03,7.798
605,Die Hard,1988-07-15,7.798
606,The Perks of Being a Wallflower,2012-09-20,7.8
607,One Hundred Steps,2000-09-01,7.796
608,Into the Wild,2007-09-21,7.796
609,L.A. Confidential,1997-09-19,7.795
610,Freaks,1932-01-01,7.8
611,I Saw the Devil,2010-08-12,7.793
612,Teen Titans: Trouble in Tokyo,2006-09-15,7.799
613,Words on Bathroom Walls,2020-08-21,7.791
614,Presto,2008-06-27,7.791
615,The Last Laugh,1924-12-23,7.8
616,Io Capitano,2023-09-07,7.79
617,God's Own Country,2017-08-31,7.8
618,The Man Who Shot Liberty Valance,1962-04-13,7.8
